"filename", "language", "JavaScript", "Properties", "JavaScript JSX", "CSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\.env", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\config\db.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\controllers\adminController.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 28, 22, 241
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\controllers\authController.js", "JavaScript", 209, 0, 0, 0, 0, 0, 0, 0, 32, 41, 282
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\controllers\bookingController.js", "JavaScript", 363, 0, 0, 0, 0, 0, 0, 0, 63, 63, 489
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\controllers\eventController.js", "JavaScript", 288, 0, 0, 0, 0, 0, 0, 0, 49, 49, 386
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\controllers\userController.js", "JavaScript", 206, 0, 0, 0, 0, 0, 0, 0, 19, 38, 263
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\middleware\auth.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 7, 10, 73
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\middleware\error.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\middleware\upload.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\models\BlacklistedToken.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\models\Booking.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 2, 3, 37
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\models\Event.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 2, 3, 57
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\models\User.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 2, 3, 43
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\routes\admin.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 4, 5, 26
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\routes\auth.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 6, 10, 55
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\routes\bookings.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 10, 11, 53
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\routes\events.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 30, 12, 69
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\routes\users.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 9, 11, 44
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\server.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 3, 7, 39
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\utils\emailService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 4, 25
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\backend\utils\errorResponse.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, -7, 0, 0, 0, -6, -13
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\eslint.config.js", "JavaScript", -32, 0, 0, 0, 0, 0, 0, 0, 0, -2, -34
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -13
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, -4619, 0, 0, -1, -4620
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, -36, 0, 0, -1, -37
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\postcss.config.cjs", "JavaScript", -6, 0, 0, 0, 0, 0, 0, 0, -1, -1, -8
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\public\vite.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\App.jsx", "JavaScript JSX", 0, 0, -146, 0, 0, 0, 0, 0, -10, -19, -175
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\bookings\BookingForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\common\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\common\Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\common\FormInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\common\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\common\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, -15, 0, 0, 0, 0, 0, 0, -4, -19
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\events\EventCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\events\EventFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\events\EventList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\layout\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\layout\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\components\user\PasswordChangeModal.jsx", "JavaScript JSX", 0, 0, -179, 0, 0, 0, 0, 0, -11, -28, -218
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, -48, 0, 0, 0, 0, 0, -5, -8, -61
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\hooks\useApi.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\hooks\useAuth.jsx", "JavaScript JSX", 0, 0, -10, 0, 0, 0, 0, 0, 0, -2, -12
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\index.css", "CSS", 0, 0, 0, -12, 0, 0, 0, 0, -2, -2, -16
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\main.jsx", "JavaScript JSX", 0, 0, -9, 0, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, -5, 0, 0, 0, 0, 0, 0, -2, -7
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\admin\DashboardPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\LoginPage.jsx", "JavaScript JSX", 0, 0, -255, 0, 0, 0, 0, 0, -6, -24, -285
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\RegisterPage.jsx", "JavaScript JSX", 0, 0, -219, 0, 0, 0, 0, 0, -13, -24, -256
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\auth\ResetPasswordPage.jsx", "JavaScript JSX", 0, 0, -130, 0, 0, 0, 0, 0, -3, -13, -146
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\bookings\BookingsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\CreateEventPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventDetailPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\events\EventsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\pages\user\ProfilePage.jsx", "JavaScript JSX", 0, 0, -161, 0, 0, 0, 0, 0, -15, -23, -199
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\authService.js", "JavaScript", -113, 0, 0, 0, 0, 0, 0, 0, -13, -18, -144
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\bookingService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\eventService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\services\userService.js", "JavaScript", -65, 0, 0, 0, 0, 0, 0, 0, -5, -8, -78
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\formatDate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\src\utils\validation.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\tailwind.config.cjs", "JavaScript", -7, 0, 0, 0, 0, 0, 0, 0, -1, -1, -9
"c:\Users\Abdul\OneDrive\Documents\Projects\BSW copy\frontend\vite.config.js", "JavaScript", -9, 0, 0, 0, 0, 0, 0, 0, 0, -2, -11
"Total", "-", 1421, 5, -1177, -12, -2, -7, -4655, -13, 184, 87, -4169